month,record_high_deg_c,mean_daily_max_deg_c,daily_mean_deg_c,mean_daily_min_deg_c,record_low_deg_c,avg_precipitation_mm,avg_precipitation_days(gte_0.1mm),avg_relative_humidity_(%),mean_monthly_sunshine_hours,mean_daily_sunshine_hours,
Jan,43.3,30.1,24.9,20.2,5.9,134.4,8.9,64.6,272.8,8.8
Feb,38.0,28.9,23.8,19.4,4.2,129.3,8.0,69.1,223.2,7.9
Mar,38.9,27.0,22.0,17.7,2.8,120.0,8.2,72.0,217.0,7.0
Apr,36.0,23.2,18.2,14.1,−2.3,130.3,8.9,75.6,168.0,5.6
May,31.6,19.4,14.8,11.1,−4,93.5,7.2,78.7,158.1,5.1
Jun,28.5,16.4,12.0,8.4,−5.3,61.5,7.3,78.2,135.0,4.5
Jul,30.2,15.5,11.0,7.5,−5.4,74.4,7.4,77.0,142.6,4.6
Aug,34.4,17.9,13.0,8.9,−4,70.3,7.0,72.6,170.5,5.5
Sep,35.3,19.7,14.9,10.6,−2.4,80.6,7.4,69.5,180.0,6.0
Oct,36.3,22.6,17.9,13.4,−2,122.9,10.2,69.4,204.6,6.6
Nov,36.8,26.0,20.9,16.1,1.6,117.6,8.9,65.3,246.0,8.2
Dec,40.5,29.0,23.6,18.5,3.7,122.8,8.9,62.8,266.6,8.6
Year,43.3,22.9,18.1,13.8,−5.4,1257.6,98.3,71.2,2384.4,6.5
